,댓글,혐오여부
155,맞노 구원은 셀프고 웜도 할년할이노. 월베 주베 떠먹여주는데도 뱉는 년들 수두룩할거노. 할거면 닥눈삼하고 제대로 하던지 말그대로 6웜을 하기만 한다9는 뽕에 취해있노 그딴식으로 머릿수 채우는거 필요없노. 나도 웜오기전까지는 커뮤했었던년이노 웜하고나서 커뮤가 을매나 유해한지 알겠더노 그래서 바로 탈퇴하고 안한지 69년됐노 커뮤는 제자리걸음이노. 윾입들이 스스로 알아보지도 않고 닥눈삼은 애비후장에 박아두고 이미 끝난얘기 6969번 끌고와서 계속 반복하노. 그러니 발전이 있겠노? 그런짓을 웜에서도 하고있노. 웜은 앞으로 계속 나아가야하노,
156,웜도 수준이 맞아야 하는거노. 개돼지내 못벗은 ㅎㅌㅊ 들은 느그 급 맞는 데 가서 놀아라 이기야,
157,나도 워마드 영업 안 했으면 하노. 다른 커뮤와 트짹이 수준이 높아지게 하는 거면 몰라도 웜년다운 년 아니면 글 찌지 말라이기. 읽고 가는 건 괜찮노. 근데 물 흐리지 말라이기야. 워마드는 상위 2% 집단이노. 개돼지같은 사람들은 필요없노. 웜년다운 사람들만 받아들인다이기.,
158,맞노 웜은웜이고 커뮤는 커뮤노 동기화되는 개돼지는필요없노,
159,허벌워추 주고 간다 이니야 내가 하고싶은 말을 다 적어놨노,
160,"986 본문의 대체 뭘 읽은거노? 그 얘기가 아닌데 난독하고 딴 소리 하노
이렇게 말을 해도 못 알아 듣고 읽고 싶은대로 읽으니까 웜년들이 유입 싫어하노",
161,커뮤니 트위터니 웜 영업좀 그만해라이기야 개돼지들 웜에 기어들어와서 갤플 좆창내질않나 지적하면 빈정상해서 지랄발광들을 하질않나 니들 그 대단한 커뮤에서는 공지 개같이 잘지키면서 웜은 만만하노 홍본좌 참 대통령 박근혜대통령님 편파수사에 대놓고 여자들 탄압하고 탄핵하는 문재앙 빨갱이 개새끼라고 말못하면 아직도 개돼지다이기야 그런새끼들은 웜스탠스랑 안맞으니까 발도 들이지마라,
162,맞노 뉴스다 검색어다 언론이다 워마드 염불 외우는데 뭣하러 영업을 하노 올년 오는데 웜 영업하면서 현생시간 버리지 말아라이기,
163,맞노 닥눈삼하고 워딩 좀 제대로 써라 익이 글마다 워딩 지적이 한두개가 아니노 보지가 디폴트인거랑 년 욕으로 처 쓰지말아라 익이 이게 어렵노 윾내난다 ,
164,맞노 요즘에 하도 윾내나서 워마드 들어오기 꺼려졌노 이미 끝난 갤플 또 올라오고 처음 온 사람들은 월베부터 좀 읽어봐라익이야 구원은 셀프노,
165,워추주노 이기,
166,글잘썼노 램펨=워마드라 생각하고 물흐리는 짓좀 하지말라이기야. 알아서 웜찾아와서 웜년 될 마인드면 벌써 다른커뮤는 발끊었노,
167,양보단 질이다이기야 ㅈㅎㅌㅊ 백명모이는 것보다 ㅂㅅㅌㅊ웜창 한명이 더 가치있노 ,
168,들어올 년들은 알아서 들어온다 이기야 ,
169,속이 다 시원하노 좆팔 웜 밖에 안 하는데 요즘 개돼지냄새에 웜에 덜 들어오게 되노 지적하는 것도 지쳐가노,
170,글다받노,
171,글 받노 닥눈삼 안하고 좆본 우익 웅앵댈거면 웜에서 꺼져라 이기야 ,
172,"사실을 얘기하면 나는 개돼지 밭에있었다이기야.
램펨 트위터에 있다가 이 년들은 한남죽어와 찡찡글밖에 없었고 실제 야망보진 이미 트위터 지웠다이기야. 어떤 웜련이 트위터 탈퇴하고 웜들어가라 해서 들어왔는데 신세계노.
트위터는 탈조할꺼야 후엥 밖에없는데 여긴 정보글이 있노.
이제 막 드러온 웜련이지만 여길 좀만 보면 알꺼노. 이 련들은 위를 갈꺼라는거 우리에게 필요한건 6위로,응원~!9이 아닌 정보,조언이라는거
현 웜련들 말 보지에 새기며 개돼지물 완전뺄때까지 공부하겠다이기야",
173,맞노 트위터에서 확실히 유입은 많지만 웜의 생각을 제대로 가지고 오는 사람은 별로 없노 차라리 마음맞는 사람만 자기 발로 들어오는게 훨씬 좋노,
174,"웜년들이6 ...9이나6;;9etc 하지말라는거 댓글닥고 소추되는 윾입들 다 트짹이에서 온거고 일부러 그러는거였노
관잦들이랑 다를게 뭐노",
175,맞노 웜은 6영업9 당해서 오는 곳이 아니노. 영업 당해서 올 필요도 없노 ,
176,요즘 개돼지 자릉내 나는 느낌 받는건 나년만이 아니었노 ,
177,각성할년은 알아서 찾아오노 굳이 6영업9까지 해가면서 웜에 개돼지들 받을 필요 없노,
178,쓰까 꿘들도 놈딱 많이 보이노 조심해라 이기,
179,"https://youtu.be/SdpUBCt-j6Y
진짜 이섹기 개 돼지다",
180,맞노 요즘 웜애서 개돼내 허벌로 난다이기야 ,
181,840 보르텔이란건 그딴식으로 얼씨구 자매님 사랑합니다♡ 하면서 이뤄지는게 아니라 현생에서 피터지게 힘줘서 올라간다음 그냥 보지니까 끌어주고 밀어주는거노. 거기에 저딴 감정노동까지 플러스시키면 그냥 허벌 카르텔되게? <<<< ㅇㄱㄹㅇ이노,
182,후팔 진짜 웜 좆창났노 종종 들어오는데 올때마다 글 올라오는거 보면 한숨나온다 이기야 ,
183,워추먹어라 클리를 치고간다,
184,노무 맞는 말이라 봊탁쳤노 나도 트위터 하는데 워마드는 다른 방식으로 찾아서 들어왔노 결국 할 사람은 하게 돼있다이기 영업하지 않았음 좋겠노 좆팔,
185,뭐긴 뭐야 그게 니 수준이라 그렇노 << 보지에 새겨라이니야,
186,윾입오는거 존나 싫다 이기야 누가 자꾸 홍보하노 요즘은 냄져들이 기웃거려 질식하겠노 ,
187,웜 초기에 짹짹이에 웜이미지 좋게바꾸면서 유입하려고 앵간힘을 썼던 과거의 나 성찰하면서 보지 69억번 때리고 흑좆나 반성한다 이기. 다시는 그런일 없게하겠노. 놈딱 부끄러운 흑역사노.이젠 짹짹이 잘 들어가지도 않노.다시한번 반성하겠노.,
188,웜주소 허벌로 뿌리고 다니지마라 알아서 찾아올정도는 되는 사람만 받아야하노,
189,찔리고 반성 되는 글이노,
190,구원은 셀프노,
191,떠먹여줘야 기어들어오는거부터가 멀었노 웜 스티커 붙은지가 언제노,
192,맞노. 올 사람들은 알아서들 오게 돼있노,
193,"할거 없노 이기들
http://bit.ly/2CXP14M",
194,맞노 이기,
195,괜히 개돼지들 끌어들일 필요 없노 트짹이 제일 위험하다 이기야,
196,"개좆팔 개머지내 나는 페북 웜년 되기 전에 지웠다가 다시 들어가봤노. 더는 못하겠더노. 6갬성9 6도오덕9 못 잃어서 둥글게 말할라고 부랄떨고 오늘 쳐먹은거, 쌍판사진이나 올리고 앉아있다. 도대체 언제까지 그러고 살건지 알 수가 없다이기야 구원은 셀프라지만 놈딱 심하다이기. ",
197,"여기도 딱히 이끌어간다는 생각은 안드노. 개돼지가 몰려와서 그런건지 모르겠노. 매사 스스로 생각하고 스스로 정해서 나아가야 하는데 아직도 웜년들보면 무조건 동조, 올려치기가 있어서 답답할 때가 있었노 69개 댓글 처음에 써야되는거 있노 그것때문에 일단 개돼지착즙습관들이 나오는가보노",
198,웜에서마저 개돼지 냄새 맡게하지 마라 좆같노 들어올 사람은 알아서 들어온다,
199,맞는말이노 워추박고간다,
200,워추다 이기야. 니 말에 동의하노.,
201,글 다 받노 인간은 본질적으로 혼자다 이기야 지금은 더 거대한 자트릭스 부수려 뭉친것 뿐이노,
202,공감하노. 주의하겠노,
203,특히 탈코 얘기에 왜 같은 여자 패냐고 하는 사람들 때문에 노무현 답답했노 워추다이기야,
204,시위가 노무 무해하고 남리남리하더노 동요 부를 시간에 문재앙 탄핵을 외치는 게 더 나았다 이기 ,
205,워추다 이니야 자매님이라는 단어 앞으로 안써야겠노 각성꿘은 ㅇㅊ야 ,
206,시위대한테 웜웜거리니까 웜이 진짜로 연대하는곳인줄 아노,
207,"동의하노. 그리고 자매님 거리는거 구 종교꿘으로서 좆같은 기억 떠올라서 불쾌하노. 성님 자매님 거리는거 흑존나 유한거 맞노. 보지한정 친절한 메갈련 이런게 지금이야 유효할지 모르지만, 글쓴이 말대로 지금은 여성해방이 시급하니까 대의를 위해 뭉쳤을뿐이고 인간은 본래 이기적이노. 연대를 위해 포용하는 스탠스가 지금은 기능을 할지도 모르지만 나중엔 아니라는 말이노 각성꿘 ㅇㅊ",
208,"웜에서 자매 타령하는 머갈 넹글한 놈도 있었노?
요샌 베스트만 읽어도 워낙 개돼지들이 허벌 워추를 찍어대니 쓸데없는 양이 군무딱 많아 다 읽을수가 없노
못보는 곳에서 별 부랄을 다 떠노",
209,요새 윾입들 들어와서 6자매9 워딩 애비후장만큼 쓰더노,
210,조팔 자매는 뭔 자매노 난 자매둔적없노 세상엔 나밖에 없다이기야ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 좆같은 워딩 계속쓸거면 웜에서 꺼지라고 6969번 말했노 여긴 니 성님도 자매도 없노 조팔새끼들아,
211,동의하노. 허벌웃음도 자제해야겠노.,
212,즈그 언니나 동생도 아닌데 뭐로 ㅋㅋㅋㅋㅋ 뭐라해야 하노 소속감 쩌면서 연대뽕 취해있노,
213,공감하노. 자매님이라는 호의적인 호칭에서 싸움을 피하려는 저자세가 느껴진다 이기. ,
214,동의하노 이기 ,
215,개독냄새 나노 ㅋㅋㅋ조팔 개오글,
216,맞노 워추다 이기야,
217,맞는말이노 시위에서도 좆목질하는년들봄서 토악질했노,
218,좆팔 흑좆나 말 잘하노 좆팔 내가하고싶은 말을 다해뿟노 한문장도 버릴게없다이기 좆팔 ,
219,ㅇㅊ 696969개 웜내의 3인칭은 기본적으로 봊나 건조해야 한다 이기야 짤 테디뽀이 머리만 길렀으면 놈딱 내 취향이노,
220,봊나똑똑한 년이노,
221,명료하게 잘 적었노. 고맙노.,
222,동의하노,
223,성림은 너네 커뮤가서 쓰고 자매님은 예수쟁이들이 쓰는거 아니노 후팔 ,
224,맞노. 나도 자매님 듣자마자 기분 헨넴좆같더노. 나는 내 인권 위해서 같이 싸우고 연대하는 거노. 보지카르텔도 내가 돈 더 많이 벌고 싶어서 하는 거노. 서로를 위해주고 챙겨주고 ^따듯^하게 사랑해주는 그런 남성스러운 건 헨넴 좆도 기대하지 말라이기야. 물론 여자가 넴성때문에 손해보거나 폭력을 입는다던지 그런건 눈뜨고 못보노. 왜냐? 넴성은 말살해 버려야 하는 벌레인데 감히 가장 완벽한 인류한테 손을 대노? 바로 죽여버려야 한다이기. ,
225,앞으로 주의하겠노 고맙노,
226,"웜년 되는건 지능순이다 이기야, 웜년은 웜년이노",
227,띵문이노 당연한건데 이 당연한걸 모르는 년들이 놈딱 맞노 워추준다 익이 그리고 윾입들 쓰까들 커뮤들 보지에 새겨라 이기야,
228,자매님이 뭐노 놈딱 오글거리노,
229,아직도 있노?,
230,맞노 공감한다 이기야 아직 파악 안된다면 괜히 ㅋ남발하거나 자매님 거리지 말고 닥눈삼했으면 좋겠노,
231,글 문장 하나하나 동의하노 자매닝란 말 도덕꿘냄새나노 ,
232,난 웜련같은 자매 안둔다,
233,고맙노,
234,워추다 이기 요즘 윾입들 흑좆나 많은데 다 봐야하노. 이게 웜 스탠스노,
235,"글 다 받노. 지금 소꿉놀이, 역할놀이하며 희희덕거려야 될 때가 아니라 마땅히 분노해야 될 때다 이기야",
236,주의하겠다 이기. 6자매님9 워딩 다시 생각해보니 도오덕 코르셋 69번 짜매야 할 거 같노. 워추 주노,
237,맞노 친한척 자제하고 진짜 여성인권만을 공공의 목표로 추구하는 그런 이미지 만들어야한다.,
238,짤 잘그리노 맴에드노,
239,공감하노. 주의하겠다 이기야,
240,워추,
241,봊나 옳은 말이노,
242,본문 다 받고 짤 자댕이놈 머리가 안 길어서 놈딱 아쉽노. 냄져는 여리어리해야 참 맞이거늘.,
243,생각 바로 고쳐먹었다이기. 노무딱 고맙다이기.,
244,맞노맞노 놈현 공감한다 워딩에서 부랄내나게 개돼지냄시나노 ,
245,그렇다 리기..,
246,맞다이기 ㅋㅋ,
247,맞다 자매님 예수좆교에서 쓰는 워딩같노,
248,띵언이다 이기야,
249,"맞노 개독교에 내 어릴 시절, 시간, 관점, 가치관 등을 다 버린 사람으로서 자매님 워딩 아니라고 보노",
250,맞노 나도 6자매님9워딩 처음 들었을때 뭔가 이상하다 느꼈는데 그 이유가 이거였노 도대체 웜에서 소속감 찾는거 이해못하겠다 후팔,
251,워추박노 ,
252,동의한다이기,
253,좆목은 미개한 자지들이나 하는거야,
254,맞노 나는 내 목표와 이익을 위해 연대를 할 뿐 봊나 독립적인 개인이다이기야,
255,자매님이라는 호칭 자체가 너무 오글거리노 ,
256,자매님 봊나 유치했는데 ㅇㅊㅇㅊ,
257,"여기 모인 사람들은 자지 멸종이라는 공통의 목표를 공유하는 이익집단일 뿐 그 외에 서로를 이어주는 건 좆도 없다는 걸 인정해라 ㅡ이 부분 ㅇㅊ노 자기 앞가림은 자기가 하는거노 자매님 부랄떨면서 남한테 정서적, 정치적 의존하지마라. ",
258,소속감 애비좆만큼도 안가질거노 ㅋ ,
259,동의하노,
260,생각고쳐먹겠노 글 고맙다이기,
261,혹할뻔했노. 워추다이니,
262,"테디보이 봊꼴
례브장한 남 팔다리 잘라서 무기력 하게 만들어서
섹스토이로 쓰고잡노",
263,ㅈㅗㅈ팔 오글거리노,
264,자매님 뭐노 종교꿘이노 조팔 ㅋㅋ 글 고맙노,
265,동의하노 이기,
266,동의하노,
267,후팔 맞말,
268,맞는말이노 워추박고간다,
269,트위터에서 언님언님 거리는 거 듣기 싫노 누가 니 언님인지 언니인지 모르겠노,
270,장애우 비위에서 좆나 와닿았다,
271,자매라고 서로 칭하는 거 자체가 ㅎㅌㅊ가 따로없노 웩이노,
272,구원은 셀프노,
273,자매자매 흑좆나 종교꿘 같놐ㅋㅋㅋ 우린 여기 좆목질하러 모인 게 아니노 동의한다 이기,
274,자매님이든 성림이든 언님이든 다 ㅎㅌㅊ같아보이노,
275,난 서로를 이년 저년 하는 웜 분위기에 신선한 충격을 받아서 금방 빨간약 먹은년이노. 서로 도오덕콜셋 입히는 분위기였으면 지금처럼 정체성 뚜렷한 사이트로 거듭나지도 못했을거노,
276,동의하노.,
277,맞노 우리는 여성인권이라는 동일한 목표가 있어 잠시 모인 것이노 공동의 목표가 달성되고 나면 뿔뿔히 흩어져 각자의 길을 가야 하노 절대 유대감이나 친분이 있어서는 안되노 커뮤 망하는 길이다노,
